department	revenue_year	ken_code	ken_description	insurance_provider	hospitalization_count	base_revenue	extra_revenue	total_revenue
Γαστρεντερολογία	2026	KEN007	Ογκολογική νοσηλεία	ΕΦΚΑ	1	3200.00	1350.00	4550.00
Γαστρεντερολογία	2026	KEN007	Ογκολογική νοσηλεία	Ιδιωτική Ασφάλεια	1	3200.00	1350.00	4550.00
Επείγοντα	2026	KEN001	Νοσηλεία καρδιολογικού περιστατικού	Ανασφάλιστος	1	1800.00	0.00	1800.00
Επείγοντα	2026	KEN001	Νοσηλεία καρδιολογικού περιστατικού	ΕΦΚΑ	1	1800.00	0.00	1800.00
Επείγοντα	2026	KEN001	Νοσηλεία καρδιολογικού περιστατικού	Ιδιωτική Ασφάλεια	2	3600.00	0.00	3600.00
Επείγοντα	2026	KEN003	Νοσηλεία ΜΕΘ	Ανασφάλιστος	2	10000.00	2800.00	12800.00
Επείγοντα	2026	KEN003	Νοσηλεία ΜΕΘ	ΕΦΚΑ	1	5000.00	1400.00	6400.00
Επείγοντα	2026	KEN003	Νοσηλεία ΜΕΘ	Ιδιωτική Ασφάλεια	2	10000.00	2800.00	12800.00
Επείγοντα	2026	KEN005	Ορθοπαιδική νοσηλεία	Ανασφάλιστος	2	5200.00	0.00	5200.00
Επείγοντα	2026	KEN005	Ορθοπαιδική νοσηλεία	ΕΦΚΑ	1	2600.00	0.00	2600.00
Επείγοντα	2026	KEN005	Ορθοπαιδική νοσηλεία	Ιδιωτική Ασφάλεια	1	2600.00	0.00	2600.00
Επείγοντα	2026	KEN007	Ογκολογική νοσηλεία	Ανασφάλιστος	1	3200.00	1350.00	4550.00
Επείγοντα	2026	KEN007	Ογκολογική νοσηλεία	ΕΦΚΑ	1	3200.00	1350.00	4550.00
Επείγοντα	2026	KEN007	Ογκολογική νοσηλεία	Ιδιωτική Ασφάλεια	2	6400.00	2700.00	9100.00
Επείγοντα	2026	KEN008	Οφθαλμολογική νοσηλεία	Ιδιωτική Ασφάλεια	1	1000.00	600.00	1600.00
Καρδιολογία	2026	KEN001	Νοσηλεία καρδιολογικού περιστατικού	Ανασφάλιστος	2	3600.00	0.00	3600.00
Καρδιολογία	2026	KEN001	Νοσηλεία καρδιολογικού περιστατικού	ΕΦΚΑ	1	1800.00	0.00	1800.00
Καρδιολογία	2026	KEN001	Νοσηλεία καρδιολογικού περιστατικού	Ιδιωτική Ασφάλεια	1	1800.00	0.00	1800.00
Καρδιολογία	2026	KEN003	Νοσηλεία ΜΕΘ	Ανασφάλιστος	2	10000.00	2800.00	12800.00
Καρδιολογία	2026	KEN003	Νοσηλεία ΜΕΘ	ΕΦΚΑ	1	5000.00	1400.00	6400.00
Καρδιολογία	2026	KEN003	Νοσηλεία ΜΕΘ	Ιδιωτική Ασφάλεια	1	5000.00	1400.00	6400.00
Καρδιολογία	2026	KEN004	Παθολογική νοσηλεία	Ιδιωτική Ασφάλεια	1	1200.00	540.00	1740.00
Καρδιολογία	2026	KEN005	Ορθοπαιδική νοσηλεία	Ανασφάλιστος	1	2600.00	0.00	2600.00
Καρδιολογία	2026	KEN005	Ορθοπαιδική νοσηλεία	ΕΦΚΑ	1	2600.00	0.00	2600.00
Καρδιολογία	2026	KEN005	Ορθοπαιδική νοσηλεία	Ιδιωτική Ασφάλεια	2	5200.00	0.00	5200.00
Καρδιολογία	2026	KEN006	Παιδιατρική νοσηλεία	Ιδιωτική Ασφάλεια	1	900.00	1300.00	2200.00
Καρδιολογία	2026	KEN007	Ογκολογική νοσηλεία	Ανασφάλιστος	2	6400.00	2700.00	9100.00
Καρδιολογία	2026	KEN007	Ογκολογική νοσηλεία	Ιδιωτική Ασφάλεια	1	3200.00	1350.00	4550.00
